ts_code,name,holder_name,hold_amount,hold_ratio
510180,上证180ETF华安,中央汇金投资有限责任公司,"5,231,570,000",91.93
510100,上证50ETF易方达,中央汇金投资有限责任公司,"91,758,200",5.83
510050,上证50ETF华夏,中央汇金投资有限责任公司,"28,791,500,000",50.81
510050,上证50ETF华夏,中央汇金资产管理有限责任公司,"19,967,500,000",35.24
510300,沪深300ETF华泰柏瑞,中央汇金资产管理有限责任公司,"37,858,500,000",42.62
510300,沪深300ETF华泰柏瑞,中央汇金投资有限责任公司,"35,654,600,000",40.14
510230,金融ETF国泰,中央汇金投资有限责任公司,"2,563,560,000",77.59
510310,沪深300ETF易方达,中央汇金资产管理有限责任公司,"28,538,700,000",43.34
510310,沪深300ETF易方达,中央汇金投资有限责任公司,"27,355,400,000",41.54
510310,沪深300ETF易方达,易方达基金－中央汇金资产管理有限责任公司－易方达基金－汇金资管单一资产管理计划,"254,000,000",0.39
510330,沪深300ETF华夏,中央汇金资产管理有限责任公司,"21,090,800,000",44.47
510330,沪深300ETF华夏,中央汇金投资有限责任公司,"20,937,200,000",44.15
510500,中证500ETF南方,中央汇金投资有限责任公司,"8,235,100,000",43.2
510500,中证500ETF南方,中央汇金资产管理有限责任公司,"5,981,980,000",31.38
510500,中证500ETF南方,易方达基金－中央汇金资产管理有限责任公司－易方达基金－汇金资管单一资产管理计划,"190,081,000",1
511180,可转债ETF海富通,全国社保基金二一四组合,"20,141,400",2.81
511180,可转债ETF海富通,基本养老保险基金一零一组合,"19,241,700",2.68
511180,可转债ETF海富通,全国社保基金二零六组合,"12,116,900",1.69
511380,可转债ETF博时,全国社保基金二零八组合,"82,010,500",2.16
511380,可转债ETF博时,全国社保基金二一零组合,"48,893,500",1.29
511380,可转债ETF博时,基本养老保险基金一零七组合,"47,685,600",1.26
512010,医药ETF易方达,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,"893,274,000",1.99
512010,医药ETF易方达,易方达基金－中央汇金资产管理有限责任公司－易方达基金－汇金资管单一资产管理计划,"846,000,000",1.89
512100,中证1000ETF南方,中央汇金资产管理有限责任公司,"13,212,200,000",51.51
512100,中证1000ETF南方,中央汇金投资有限责任公司,"8,956,690,000",34.92
512170,医疗ETF华宝,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,"229,702,000",0.31
512400,有色金属ETF南方,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,"225,077,000",2.11
